id,chave,qa1_objetivo,qa2_metodo,qa3_contexto,qa4_resultados,nota,justificativa
S01,nguyen_2012,1,"0,5",1,1,"3,5","Objetivo e contribuições na Seção 1, RQ1/RQ2 com hipóteses na Seção 3; Seção 2 define 6 tipos de CS embutidos (Tabela 1) e a detecção pelo WebScent, mas faltam o limiar σ, a geração dos casos de teste e a origem dos dados de bugs; Tabela 2 descreve 6 sistemas PHP; Tabelas 3–5 (Wilcoxon) respondem às RQs. Alternativa: QA4 0,5 defensável: afirma 'high accuracy' sem avaliar precisão/revocação do WebScent e não tem seção de ameaças."
S02,gauthier_merlo_2013,1,1,1,"0,5","3,5","Três contribuições explícitas na Introdução; Seção III descreve um protocolo em 5 passos (mapeamento de privilégios por análise estática com verificação de modelos, LDA com 100 tópicos, 30.700 regressões logísticas com correção de Bonferroni); Seção IV descreve o Moodle 2.3.2 (PHP, 735 mil sLOC, 307 privilégios); Tabela I traz 31 smells e 2 erros, 2 deles confirmados por desenvolvedores; porém os autores chamam os resultados de preliminares, não medem acurácia e não discutem ameaças. Alternativa: QA2 0,5 defensável (a inspeção manual e a revisão por especialistas não têm critérios descritos); QA4 1 defensável para uma prova de conceito."
S03,yamashita_counsell_2013,1,1,1,"0,5","3,5","Duas questões de pesquisa explícitas na Introdução; Seções 3–4 e 6 descrevem as ferramentas (Borland Together, InCode), os 12 CS (Tabela 9), a densidade de CS, os testes (Tabela 12), as tarefas (Tabela 10), a medição de esforço e defeitos e o Kappa; contexto nas Tabelas 7–8; Tabelas 11–18 respondem às questões, mas a validação se apoia em 4 sistemas e 6 observações, e as conclusões ('show promise') vão além da força dos dados. Alternativa: QA4 1 defensável: as duas questões são respondidas com tabelas, o estudo se declara exploratório e a Seção 7.2 reconhece as limitações."
S04,yamashita_moonen_2013,1,1,1,1,4,"Objetivo explícito no resumo e na Introdução (quanto dos problemas de manutenção os CS explicam); Seção 3 descreve o estudo de casos múltiplos (6 desenvolvedores, 4 sistemas, 3 tarefas; Tabela 2), as fontes de dados (Tabela 3), a identificação de problemas (Tabela 4), os 12 CS e as ferramentas (Tabela 5) e a análise (Seção 3.3, Fig. 1); contexto na Tabela 1; Tabelas 7–14 e Apêndice A sustentam os resultados; Seção 5.4 trata das ameaças. Alternativa: QA2 0,5 defensável: a categorização dos problemas é qualitativa e só parte dela foi validada por um segundo pesquisador."
S05,arcelli_fontana_2015,1,"0,5",1,"0,5",3,"Três questões explícitas na Introdução; há ferramentas de detecção e refatoração (Tabelas 1–2), passos de refatoração (Tabela 3) e verificação com RefFinder, mas faltam o número e o perfil dos alunos avaliadores, o protocolo das notas H/M/L (Tabela 6) e o critério de escolha dos trechos refatorados; Tabela 4 descreve 4 sistemas Java do Qualitas Corpus; Tabela 5 traz contagens, mas as respostas às questões (Seções 5.2–5.4) são impressões subjetivas. Alternativa: QA3 0,5 defensável (os participantes da avaliação subjetiva não são caracterizados)."
S06,wagey_2015,1,"0,5",1,"0,5",3,"Objetivo explícito na Introdução (modelo de manutenibilidade baseado em CS, validado pela densidade de padrões de projeto), sem RQs; Seção III detalha 5 CS, 11 métricas, escalas e limiares (Tabelas 1–4), mas a Seção IV não descreve como a correlação de 0,51 foi calculada; Tabela 5 descreve as 6 apps Java; Tabelas 6–8 e Figs. 2–3 existem, mas a validação é fraca. Alternativa: QA1 0,5 defensável (sem RQs formais); QA2 1 defensável (modelo bem especificado). Problemas da QA4: n=6, correlação de 0,51 sem teste de significância e chamada de 'strong' no resumo."
S07,khrishe_2016,1,1,1,"0,5","3,5","Objetivo nas Seções I–II e hipótese na Seção IV; Seção III dá o código-fonte completo (Tabela 1), as 3 refatorações, as 6 ordens, o SourceMonitor e as 6 métricas; contexto é uma única classe C# artificial, integralmente mostrada; Tabelas 2–3 e Figuras 1–2 mostram diferenças, mas a hipótese é aceita sem teste estatístico e com um único caso. Alternativa: QA3 0,5 defensável (classe de brinquedo, sem sistema real); QA4 0 possível dada a fragilidade da evidência."
S08,palomba_textual_2016,1,1,1,1,4,"Objetivo explícito na Introdução e RQ1–RQ3 na Seção IV; Seção III descreve a extração textual, a normalização, o LSI, as fórmulas (1)–(10) e o corte pela mediana; Seção IV traz o oráculo público, precisão, revocação e F-measure e a reimplementação do DECOR; Tabela I descreve 10 sistemas Java (classes, métodos, KLOC); Tabelas II–VII trazem resultados por sistema e por smell; Seção VI discute as ameaças. Alternativa: QA4 0,5 defensável: não há testes estatísticos, e afirmações como 'em 90% dos casos o TACO supera' vêm de contagens por sistema."
S09,soltanifar_2016,1,1,1,1,4,"QA1: objetivo e 3 contribuições explícitos na introdução. QA2: Seção 3 descreve ferramentas, métricas de churn, algoritmos, SMOTE, validação cruzada 10-fold com 100 repetições, teste de Mann-Whitney e 5 medidas de desempenho. QA3: Tabela 1 e Seção 3.1 descrevem os 2 projetos industriais (domínio, linguagem, arquivos, desenvolvedores, período, versionamento). QA4: Tabelas 2 a 4 sustentam as conclusões com testes estatísticos e a Seção 6 discute ameaças; ressalvas: correlações baixas (0,21 a 0,36) e correlação só no Projeto 1 (0,5 também é defensável)."
S10,souza_2017,1,1,1,"0,5","3,5","QP1 e QP1.1 explícitas na Introdução e na Seção 3; as estratégias de detecção estão nas Figs. 1–5, com limiares do catálogo de Filó (Tabela 1) e a ferramenta FindSmells; a comparação com JSpIRIT e JDeodorant usa precisão, revocação e F-measure, com validação por especialista; Tabela 2 descreve 12 sistemas Java; porém não há oráculo (as saídas das ferramentas servem de referência), a validação manual cobre só 2 sistemas e há apenas boxplots, sem testes, embora a conclusão fale em 'significativamente eficazes'. Alternativa: QA2 0,5 defensável (a seleção dos sistemas é descrita de forma contraditória e há um único especialista); QA4 1 possível para quem aceita a comparação com as ferramentas como evidência."
