#,Nome do Code Smell (CS),CS Específico do PHP,Descrição,Artigo citado,Texto relevante
1,Class Data Should Be Private,Não,Indica que os dados de uma classe não estão encapsulados corretamente,A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,
2,Long Parameter List,Não,"Refere-se a métodos que recebem muitos parâmetros, dificultando a compreensão e manutenção.",A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,
3,Lazy Class,Não,Classes que não têm utilidade suficiente para justificar sua existência.,A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,
4,Excessive Number Of Children (ENOC),Sim,Muitos filhos de uma classe dificultam a manutenção da hierarquia.,A longitudinal exploratory study on code smells in server side web applications,
5,Excessive Depth Of Inheritance (EDOI),Sim,Uma árvore de herança profunda aumenta o acoplamento e dificulta a manutenção.,A longitudinal exploratory study on code smells in server side web applications,
6,High Coupling (HC),Sim,Muitas dependências tornam a classe mais difícil de manter.,A longitudinal exploratory study on code smells in server side web applications,
7,Empty Catch Block (ECB),Sim,Bloqueios catch vazios dificultam o tratamento de erros.,A longitudinal exploratory study on code smells in server side web applications,
8,Goto Statement (GTS),Sim,O uso de goto torna a lógica do programa difícil de entender.,A longitudinal exploratory study on code smells in server side web applications,
9,High Method Complexity (HMC),Sim,A complexidade ciclomática alta torna o código difícil de testar e manter.,A longitudinal exploratory study on code smells in server side web applications,
10,High NPath Complexity (HNPC),Sim,"Complexidade alta em estruturas de controle (e.g., if/else), diminuindo a clareza e aumentando a dificuldade de testes.",A longitudinal exploratory study on code smells in server side web applications,
11,Excessive Method Length (EML),Sim,Métodos muito longos dificultam o entendimento e a manutenção.,A longitudinal exploratory study on code smells in server side web applications,
12,Excessive Class Length (ECL),Sim,Classes grandes são difíceis de gerenciar e manter.,A longitudinal exploratory study on code smells in server side web applications,
13,Excessive Parameter List (EPL),Sim,Muitos parâmetros em métodos indicam que o método pode estar realizando muitas funções.,A longitudinal exploratory study on code smells in server side web applications,
14,Too Many Public Methods (TMPM),Sim,Muitas funções públicas aumentam o risco de acoplamento com classes externas.,A longitudinal exploratory study on code smells in server side web applications,
15,Too Many Methods (TMM),Sim,Um grande número de métodos em uma classe pode indicar baixa coesão.,A longitudinal exploratory study on code smells in server side web applications,
16,Long Method,Não,Métodos muito longos que dificultam a leitura e manutenção do código.,Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,
17,Feature Envy,Não,Quando um método em uma classe utiliza mais de outra classe do que da sua própria.,Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,
18,Large Class,Não,"Classes com muitas responsabilidades, o que pode tornar o código mais difícil de manter.",Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,
