#,Técnica,Descrição,Artigo citado,Texto relevante
1,Informações estruturais,,A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,"Referência: N. Moha, Y.-G. Gueheneuc, L. Duchien, and A.-F. Le Meur, “Decor: A method for the specification and detection of code and design smells,” IEEE Transactions on Software Engineering, vol. 36, no. 1, pp. 20–36, 2009."
2,Informações históricas,,A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,"Referência: F. Palomba, G. Bavota, M. Di Penta, R. Oliveto, A. De Lucia, and D. Poshyvanyk, “Detecting bad smells in source code using change history information,” in 2013 28th IEEE/ACM International Conference on Automated Software Engineering (ASE). IEEE, 2013, pp. 268–278."
3,Informações textuais,,A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,"Referência: F. Palomba, A. Panichella, A. Zaidman, R. Oliveto, and A. De Lucia, “The scent of a smell: An extensive comparison between textual and structural smells,” IEEE Transactions on Software Engineering, vol. 44, no. 10, pp. 977–1000, 2017."
4,Extract Class,"usada quando uma classe tem muitas responsabilidades, tornando-se difícil de manter.",An Empirical Study on the Effect of the Order of Applying Software Refactoring,"Extract Class: used when you have a class that contains lots of responsibilities, it may reach to a point where the class is complex and hard to maintain. In this case, using extract class will separate the responsibilities by extracting part of the class to a sub class."
5,Extract Method,aplicada para tornar o código mais legível e evitar duplicação de trechos de código,An Empirical Study on the Effect of the Order of Applying Software Refactoring,"Extract Method: used to make the code more readable and maintainable and avoid duplicate code in case of using the same part of code multiple times. It is done by grouping part of the code into a method and choose a suitable name for it, then replace that part with a method cal!."
6,Replace Temp With Query,"utilizada para substituir variáveis temporárias por métodos de consulta, melhorando a clareza do código",An Empirical Study on the Effect of the Order of Applying Software Refactoring,Replace Temp With Query: used when there is a temporary variable holding the result of an expression. This expression is extracted into a method and all its occurrences is replaced with the method call.
7,Refatoração baseada no algoritmo AO*,usada para encontrar a sequência ideal de refatoração. Essa técnica ajuda a identificar a melhor ordem de correção de code smells para melhorar a manutenibilidade do software.,Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,
8,Técnicas de seleção de características (Feature Selection),"utiliza o algoritmo Information Gain para identificar as características mais importantes no código-fonte para a previsão de code smells. Essa técnica reduz a quantidade de variáveis usadas no modelo, melhorando o desempenho e diminuindo a complexidade.",Application of Deep Learning models for Code Smell Prediction,
9,Algoritmos de Aprendizado Profundo,"CNN (Redes Neurais Convolucionais): Foi o algoritmo que apresentou o melhor desempenho, com uma acurácia de 99%. LSTM (Long Short-Term Memory): Um tipo de rede neural recorrente usada para dados de séries temporais. MLP (Multilayer Perceptron): Um modelo de rede neural feedforward que utiliza várias camadas de neurônios.",Application of Deep Learning models for Code Smell Prediction,
10,ADG (Attribute Dependency Graph),"Um modelo gráfico que representa as dependências entre atributos de qualidade interna e externa do software. Ele é usado para construir o modelo de manutenibilidade, agregando métricas de software, code smells e características de manutenibilidade baseadas no padrão ISO 25010.",A Proposal of Software Maintainability Model using Code Smell Measuremen,
11,Escala de Heitlager,"Uma técnica usada para mapear características do sistema em propriedades do código e atribuir valores de manutenibilidade usando uma escala de classificação (++ / + / o / - / --), que é agregada para obter o valor final de manutenibilidade.",A Proposal of Software Maintainability Model using Code Smell Measuremen,
12,Medição de densidade de padrões de design,Técnica que envolve a extração e análise de padrões de design do código-fonte para calcular a densidade dos padrões em relação ao número total de linhas de código lógico.,A Proposal of Software Maintainability Model using Code Smell Measuremen,
13,DECOR,"É uma técnica baseada em regras estruturais para detectar code smells e defeitos de design. Ela usa uma linguagem específica de domínio (DSL) para especificar e detectar code smells como Blob, Swiss Army Knife, Functional Decomposition e Spaghetti Code.",A Textual-based Technique for Smell Detection,
14,Abordagem de Clustering,"Utilizada para detectar Promiscuous Package. Agrupa classes de acordo com suas dependências, identificando pacotes que contêm classes sem coesão.",A Textual-based Technique for Smell Detection,
15,Abordagem de Atkinson e King,"Usada para detectar Misplaced Class. Esta abordagem percorre a árvore de sintaxe abstrata de uma classe para determinar o conjunto de classes que referenciam seus recursos, identificando se a classe está no pacote errado.",A Textual-based Technique for Smell Detection,
16,Técnica de Detecção de Clone,"Aplicada no contexto de software IEC 61499, uma abordagem para detectar código duplicado. A técnica utiliza informações metadados das Function Blocks (FBs) dentro das SubApplications (SubApps) e calcula o valor de hash dos FBs. Quando os valores de hash coincidem, clones de código são detectados​",Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,
17,Técnica baseada em IA,"Outra abordagem mencionada envolve o uso de Inteligência Artificial para detectar clones de código e padrões semelhantes em SubApplications. Isso permite encontrar instâncias similares de código que podem ser refatoradas, aumentando a reutilização do código e melhorando a qualidade​",Bad Smells in IEC 61499-based Control Software: Sniffing out Shotgun Surgery,
18,Algoritmo de Otimização de Enxame de Baratas Ponderado (WCSO),"O artigo propõe o Weighted Cockroach Swarm Optimization (WCSO) como uma nova abordagem para identificar cinco code smells: blob (large class), spaghetti code, data class, feature envy, e functional decomposition. O WCSO utiliza métricas de software e gera regras para detectar automaticamente esses code smells.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
19,Algoritmos Evolutivos,"O artigo menciona o uso de algoritmos evolutivos, como: Genetic Algorithm (GA): Utilizado para detectar code smells gerando regras com base em exemplos de códigos problemáticos. Hybrid Particle Swarm Optimization (HPSOM): Uma combinação do algoritmo de otimização por enxame de partículas com outras técnicas para melhorar a detecção de code smells. Parallel Evolutionary Algorithm (PEA): Outro método evolutivo que é comparado ao WCSO nos experimentos de detecção.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
20,Análise Estática e Dinâmica,"São mencionados métodos de análise estática e dinâmica para analisar o comportamento do código e identificar problemas. A análise estática examina o código sem executá-lo, enquanto a dinâmica envolve a execução do código para monitorar seu comportamento.",Code Smell Detection Using A Weighted Cockroach Swarm Optimization Algorithm,
21,Detecção baseada em estratégias de métricas,"As ferramentas mencionadas utilizam uma abordagem baseada em métricas para identificar code smells. Por exemplo, o code smell ""God Method"" é detectado considerando métricas como o número de linhas de código (LOC), número de variáveis locais (NOLV), número máximo de ramificações (MNOB), e número de parâmetros (NOP).",Code smells as system-level indicators of maintainability: An empirical study,
22,Densidade de cheiros (smell density),"Além do número bruto de cheiros, o artigo usa a densidade de cheiros (smells por LOC) como uma forma de ajustar o impacto dos smells de acordo com o tamanho dos sistemas analisados, embora com algumas limitações quando comparado a sistemas de tamanhos diferentes",Code smells as system-level indicators of maintainability: An empirical study,
23,Extract Class e Move Method,para God Class e Feature Envy.,On Experimenting Refactoring Tools to Remove Code Smells,
24,Extract Method,para Long Method.,On Experimenting Refactoring Tools to Remove Code Smells,
25,Replace Conditional with Polymorphism e Replace Type Code with State/Strategy,para Type Checking.,On Experimenting Refactoring Tools to Remove Code Smells,
26,Métricas Baseadas em Regras,O artigo menciona que o PMD e outras ferramentas utilizam conjuntos de regras para analisar o código e detectar code smells. Essas regras são aplicadas para verificar o cumprimento de boas práticas e padrões de codificação.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
27,Taxonomia de Code Smells,O artigo faz referência à categorização de code smells em grupos similares para facilitar a análise e a identificação de problemas no código.,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
28,Uso de Técnicas de Mineração de Repositórios de Software,"Para coletar dados sobre defeitos e analisar a relação com code smells, o artigo menciona a mineração de repositórios de código, que permite a extração de métricas como número de linhas de código adicionadas/removidas (métricas de churn).",Software Analytics in Practice: A Defect Prediction Model Using Code Smells,
