row_in_original_spreadsheet,study_id,key,name_in_study,description,marked_as_php_in_extraction,synonym_group,category,in_catalog,catalog_number,catalog_name,specificity,decision,notes
1,S14,catolino_2020,Class Data Should Be Private,Indicates that the data of a class are not properly encapsulated,No,Class Data Should Be Private,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
2,S14,catolino_2020,Long Parameter List,"Refers to methods that take many parameters, which hinders understanding and maintenance.",No,Excessive Parameter List,Size,No,,,,outside the catalog: not a PHP study,
3,S14,catolino_2020,Lazy Class,Classes that are not useful enough to justify their existence.,No,Lazy Class,Unused code,No,,,,outside the catalog: not a PHP study,
4,S15,bessghaier_longitudinal_2021,Excessive Number Of Children (ENOC),Many children of a class make the hierarchy harder to maintain.,Yes,Number of Children,Inheritance and coupling,Yes,23,Number of Children,G,ok (2026-09-24),
5,S15,bessghaier_longitudinal_2021,Excessive Depth Of Inheritance (EDOI),A deep inheritance tree increases coupling and hinders maintenance.,Yes,Depth of Inheritance,Inheritance and coupling,Yes,22,Depth of Inheritance,G,ok (2026-09-24),
6,S15,bessghaier_longitudinal_2021,High Coupling (HC),Many dependencies make the class harder to maintain.,Yes,Coupling Between Objects,Inheritance and coupling,Yes,21,Coupling Between Objects,G,ok (2026-09-24),
7,S15,bessghaier_longitudinal_2021,Empty Catch Block (ECB),Empty catch blocks hinder error handling.,Yes,Empty Catch Block,Exceptions,Yes,29,Empty Catch Block,G,ok (2026-09-24),
8,S15,bessghaier_longitudinal_2021,Goto Statement (GTS),The use of goto makes the program logic hard to understand.,Yes,Goto Statement,PHP/web,Yes,2,Goto Statement,G,ok (2026-09-24),
9,S15,bessghaier_longitudinal_2021,High Method Complexity (HMC),High cyclomatic complexity makes the code hard to test and maintain.,Yes,Cyclomatic Complexity,Complexity,Yes,18,Cyclomatic Complexity,G,ok (2026-09-24),
10,S15,bessghaier_longitudinal_2021,High NPath Complexity (HNPC),"High complexity in control structures (e.g., if/else), reducing clarity and making testing harder.",Yes,NPath Complexity,Complexity,Yes,19,NPath Complexity,G,ok (2026-09-24),
11,S15,bessghaier_longitudinal_2021,Excessive Method Length (EML),Very long methods hinder understanding and maintenance.,Yes,Excessive Method Length,Size,Yes,12,Excessive Method Length,G,ok (2026-09-24),
12,S15,bessghaier_longitudinal_2021,Excessive Class Length (ECL),Large classes are hard to manage and maintain.,Yes,Excessive Class Length,Size,Yes,11,Excessive Class Length,G,ok (2026-09-24),
13,S15,bessghaier_longitudinal_2021,Excessive Parameter List (EPL),Many parameters in methods indicate that the method may be performing many functions.,Yes,Excessive Parameter List,Size,Yes,13,Excessive Parameter List,G,ok (2026-09-24),
14,S15,bessghaier_longitudinal_2021,Too Many Public Methods (TMPM),Many public functions increase the risk of coupling with external classes.,Yes,Too Many Public Methods,Size,Yes,15,Too Many Public Methods,G,ok (2026-09-24),
15,S15,bessghaier_longitudinal_2021,Too Many Methods (TMM),A large number of methods in a class may indicate low cohesion.,Yes,Too Many Methods,Size,Yes,14,Too Many Methods,G,ok (2026-09-24),
16,S16,tarwani_ao_2021,Long Method,Very long methods that make the code harder to read and maintain.,No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
17,S16,tarwani_ao_2021,Feature Envy,When a method in a class uses another class more than its own.,No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
18,S16,tarwani_ao_2021,Large Class,"Classes with many responsibilities, which can make the code harder to maintain.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
19,S16,tarwani_ao_2021,Divergent Change,"When a single class is frequently changed for different reasons, violating the single responsibility principle.",No,Divergent Change,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
20,S19,tarwani_deep_2022,God Class,"A God Class is a class that takes on many responsibilities, violating the single responsibility principle. It tends to centralize the logic of the system, making the code hard to maintain and understand, besides increasing coupling with other classes.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
21,S19,tarwani_deep_2022,Long Method,"A method with an excessive number of lines of code, which may indicate that it is performing many different tasks. Long methods are harder to understand, test and maintain. The solution usually involves breaking it into smaller methods.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
22,S19,tarwani_deep_2022,Feature Envy,"Occurs when a method in a class is more interested in the data or methods of another class than in its own class. This smell indicates that the method may be in the wrong place and should be moved to the class it ""envies"".",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
23,S19,tarwani_deep_2022,Type Checking,"This smell appears when the code performs many type checks to change its behavior according to the type of object being handled. This may indicate that the code does not make good use of polymorphism, resulting in less flexible code that is harder to maintain.",No,Switch Statement / Type Checking,Complexity,No,,,,outside the catalog: not a PHP study,
24,S19,tarwani_deep_2022,Empty Catch Block,"Refers to an exception catch block that does nothing when an exception is thrown. This can mask problems in the code, since failures are neither handled nor reported, hindering debugging and the reliability of the system.",No,Empty Catch Block,Exceptions,No,,,,outside the catalog: not a PHP study,
25,S19,tarwani_deep_2022,Dummy Handler,"An exception handler (catch block) that contains minimal or irrelevant code, such as a simple comment or a trivial log, without properly handling the exception. This can result in unresolved problems in the system.",No,Dummy Handler,Exceptions,No,,,,outside the catalog: not a PHP study,
26,S19,tarwani_deep_2022,Unprotected Main,Refers to a main method without proper exception handling. An unprotected main can let unhandled exceptions cause the program to terminate abruptly.,No,Unprotected Main,Exceptions,No,,,,outside the catalog: not a PHP study,
27,S19,tarwani_deep_2022,Nested Try Statement,"Occurs when try-catch blocks are excessively nested inside other try-catch blocks. This makes the code harder to read, maintain and debug, besides increasing complexity unnecessarily.",No,Nested Try Statement,Exceptions,No,,,,outside the catalog: not a PHP study,
28,S19,tarwani_deep_2022,Careless Cleanup,"Refers to the absence or poor implementation of cleanup processes, such as closing files or releasing resources after use, which can cause memory leaks or other performance problems.",No,Careless Cleanup,Exceptions,No,,,,outside the catalog: not a PHP study,
29,S19,tarwani_deep_2022,Exception Thrown in Finally Block,"Occurs when an exception is thrown inside a finally block, which is normally used to ensure that resources are cleaned up. This can obscure exceptions thrown in the try block, making it harder to detect the original cause of the problem and possibly producing unexpected behavior in the code.",No,Exception Thrown in Finally Block,Exceptions,No,,,,outside the catalog: not a PHP study,
30,S19,tarwani_deep_2022,Over Logging,"Excessive log generation can negatively affect system performance, increase the complexity of problem analysis and hinder maintenance.",No,Over Logging,Documentation,No,,,,outside the catalog: not a PHP study,
31,S10,souza_2017,Large Class (Classe Grande),"Refers to classes that have many responsibilities, methods and attributes, making them hard to manage and maintain. This goes against the principle that a class should have a single responsibility. A ""Large Class"" concentrates many features, which can make the code more complex and hard to understand.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
32,S10,souza_2017,Long Method,"Refers to methods that become excessively long and complex as new features are added. A ""Long Method"" tends to be hard to understand, test and maintain, besides violating the principle that each method should perform only one task.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
33,S10,souza_2017,Data Class,"A ""Data Class"" contains mainly attributes and basic methods to access them (getters and setters), without implementing complex logic. These classes act as data containers and have no significant behavior associated with them, which makes them prone to becoming mere aggregators of information.",No,Data Class,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
34,S10,souza_2017,Feature Envy,"This ""bad smell"" occurs when a class accesses the data of another class more often than its own data, suggesting that part of its functionality could be in the other class. The ""envious"" class is more interested in the attributes and methods of another class, which indicates a poor separation of responsibilities.",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
35,S10,souza_2017,Refused Bequest,"This problem arises when a subclass inherits methods or attributes from a superclass but does not use them meaningfully. The subclass ""refuses"" the inheritance by ignoring or overriding inherited methods and attributes, which may be a sign that the inheritance relationship was poorly designed.",No,Refused Bequest,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
36,S06,wagey_2015,Duplicate code,"Occurs when there are identical or very similar code fragments in different parts of the software. This hinders maintenance, since any change must be replicated in several areas, increasing the chance of errors.",No,Duplicate Code,Duplication,No,,,,outside the catalog: not a PHP study,
37,S06,wagey_2015,Long parameter list,"When a method or function takes many parameters, the code can become confusing and hard to understand. It also makes maintenance more complex, since many dependencies are passed from one function to another.",No,Excessive Parameter List,Size,No,,,,outside the catalog: not a PHP study,
38,S06,wagey_2015,Long method,"A method that performs many tasks or has a large number of lines of code. This makes the method harder to understand, test and maintain, and suggests that it could be split into smaller, more specialized methods.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
39,S06,wagey_2015,Lazy class,A class that does very little or is no longer used meaningfully in the code. These classes consume resources without offering clear benefits and can be removed or refactored to simplify the design.,No,Lazy Class,Unused code,No,,,,outside the catalog: not a PHP study,
40,S06,wagey_2015,Classe grande (Large class),"When a class has many responsibilities, including many methods or attributes. This violates the ""single responsibility"" principle and makes the code hard to maintain and understand, since the class is trying to do many things at the same time.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
41,S17,zhao_2021,Excessive Block Diagram Size,Block diagram of excessive size.,No,Excessive Block Diagram Size,LabVIEW models,No,,,,outside the catalog: not a PHP study,
42,S17,zhao_2021,Wire Clutter,Too many wires in the diagrams.,No,Wire Clutter,LabVIEW models,No,,,,outside the catalog: not a PHP study,
43,S17,zhao_2021,Inconsistent Use of SubVIs,Inconsistent use of SubVIs.,No,Inconsistent Use of SubVIs,LabVIEW models,No,,,,outside the catalog: not a PHP study,
44,S17,zhao_2021,Deeply Nested Structures,Deeply nested structures.,No,Aninhamento excessivo,Complexity,No,,,,outside the catalog: not a PHP study,
45,S17,zhao_2021,Magic Numbers,Use of literal numbers without explanation.,No,Magic Numbers,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
46,S17,zhao_2021,Unnecessary Local Variables,Use of unnecessary local variables.,No,Unnecessary Local Variables,Unused code,No,,,,outside the catalog: not a PHP study,
47,S17,zhao_2021,Repetitive Code,Repeated code that could be abstracted,No,Duplicate Code,Duplication,No,,,,outside the catalog: not a PHP study,
48,S08,palomba_textual_2016,Long Method,"Occurs when a method implements several features instead of a single responsibility, violating the single responsibility principle. Long methods are hard to understand and maintain. The associated refactoring is Extract Method, which separates the responsibilities into smaller methods.",No,Excessive Method Length,Size,No,,,,outside the catalog: not a PHP study,
49,S08,palomba_textual_2016,Feature Envy,"Refers to a method that ""envies"" another class, that is, it uses more attributes and methods of another class than of the class where it is located. The solution is to move it to the class where it belongs, using the Move Method refactoring.",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
50,S08,palomba_textual_2016,Blob,"Also known as God Class, it is a huge class that centralizes the behavior of a significant part of the system, containing many responsibilities. This smell reduces cohesion and hinders maintenance. The common refactoring is Extract Class, which splits the class into several smaller classes.",No,God Class / Blob,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
51,S08,palomba_textual_2016,Promiscuous Package,"Arises when a package contains classes that implement many different features, making it hard to understand and maintain. The typical solution is Extract Package, which redistributes the classes into smaller, more cohesive packages.",No,Promiscuous Package,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
52,S08,palomba_textual_2016,Misplaced Class,Indicates a class located in a package unrelated to the features it implements. The class should be moved to a more suitable package through the Move Class refactoring.,No,Misplaced Class,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
53,S08,palomba_textual_2016,Swiss Army Knife,"Refers to a class or module that contains many different features, like a ""Swiss army knife"", hindering cohesion and reuse.",No,Swiss Army Knife,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
54,S08,palomba_textual_2016,Functional Decomposition,"This smell occurs when the code is structured in an excessively procedural rather than object-oriented way, leading to low cohesion and low code reuse.",No,Functional Decomposition,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
55,S08,palomba_textual_2016,Spaghetti Code,"Code that is hard to understand and follow because it lacks proper structure, usually resulting from code with many nested loops or scattered conditional logic.",No,Spaghetti Code,Complexity,No,,,,outside the catalog: not a PHP study,
56,S08,palomba_textual_2016,State Checking,"A smell in which a method performs many state checks (usually on objects) before executing its main logic, which may indicate lack of cohesion and design problems.",No,Switch Statement / Type Checking,Complexity,No,,,,outside the catalog: not a PHP study,
57,S08,palomba_textual_2016,Divergent Change,"Occurs when a single class is modified for different reasons, which indicates that it may be taking on more responsibilities than it should. The appropriate refactoring is to split this class into smaller classes.",No,Divergent Change,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
58,S08,palomba_textual_2016,Parallel Inheritance,"When an inheritance hierarchy reflects changes in several classes at the same time, making it hard to keep them consistent.",No,Parallel Inheritance,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
59,S08,palomba_textual_2016,Shotgun Surgery,"A smell that occurs when a single change must be applied to several classes at the same time, indicating a poor separation of responsibilities.",No,Shotgun Surgery,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
60,S22,zivotin_2023,Shotgun Surgery,Refers to a code smell in which a single change in one part of the software requires several small changes in different places. This is problematic because it increases maintenance effort and the risk of errors,No,Shotgun Surgery,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
61,S22,zivotin_2023,Duplicated Code,"Duplicated code fragments in different parts of the system. When one of these fragments changes, all copies need to be updated, which can lead to errors and maintenance difficulties",No,Duplicate Code,Duplication,No,,,,outside the catalog: not a PHP study,
62,S22,zivotin_2023,Magic Numbers,"Numbers hard-coded without a clear explanation, scattered across different parts of the software. Changes to these numbers can lead to maintenance problems, since it is hard to ensure that all instances are updated correctly",No,Magic Numbers,Responsibilities and design,No,,,,outside the catalog: not a PHP study,
63,S22,zivotin_2023,Feature Envy,"A ""bad smell"" in which a method in a class seems more interested in the data of another class, suggesting that the behavior should perhaps be in that other class.",No,Feature Envy,Inheritance and coupling,No,,,,outside the catalog: not a PHP study,
64,S23,rio_causal_2024,Cyclomatic Complexity,Too many decision points in a method (above 10).,Yes,Cyclomatic Complexity,Complexity,Yes,18,Cyclomatic Complexity,G,ok (2026-09-24),
65,S23,rio_causal_2024,NPath Complexity,Excessive acyclic execution paths in a method (above 200).,Yes,NPath Complexity,Complexity,Yes,19,NPath Complexity,G,ok (2026-09-24),
66,S23,rio_causal_2024,Method Length,Very long method (more than 100 lines).,Yes,Excessive Method Length,Size,Yes,12,Excessive Method Length,G,ok (2026-09-24),
67,S23,rio_causal_2024,Class Length,Very long class (more than 1000 lines).,Yes,Excessive Class Length,Size,Yes,11,Excessive Class Length,G,ok (2026-09-24),
68,S23,rio_causal_2024,Parameter List,Excessively long parameter list in a method (more than 10 parameters).,Yes,Excessive Parameter List,Size,Yes,13,Excessive Parameter List,G,ok (2026-09-24),
69,S23,rio_causal_2024,Public Count,Too many public methods/attributes (more than 45).,Yes,Excessive Public Count,Size,Yes,17,Excessive Public Count,G,ok (2026-09-24),
70,S23,rio_causal_2024,Too Many Fields,Class with many fields (more than 15).,Yes,Too Many Fields,Size,Yes,16,Too Many Fields,G,ok (2026-09-24),
71,S23,rio_causal_2024,Too Many Methods,Class with many methods (more than 25).,Yes,Too Many Methods,Size,Yes,14,Too Many Methods,G,ok (2026-09-24),
72,S23,rio_causal_2024,Public Methods,Class with many public methods (more than 10).,Yes,Too Many Public Methods,Size,Yes,15,Too Many Public Methods,G,ok (2026-09-24),
73,S23,rio_causal_2024,Class Complexity,Excessive sum of the complexities of the methods of the class (above 50).,Yes,Excessive Class Complexity,Complexity,Yes,20,Excessive Class Complexity,G,ok (2026-09-24),
74,S23,rio_causal_2024,Number of Children,Class with an excessive number of children (above 15).,Yes,Number of Children,Inheritance and coupling,Yes,23,Number of Children,G,ok (2026-09-24),
75,S23,rio_causal_2024,Depth of Inheritance,Class with many levels of inheritance (above 6).,Yes,Depth of Inheritance,Inheritance and coupling,Yes,22,Depth of Inheritance,G,ok (2026-09-24),
76,S23,rio_causal_2024,Coupling Between Objects,Class with many dependencies (more than 13).,Yes,Coupling Between Objects,Inheritance and coupling,Yes,21,Coupling Between Objects,G,ok (2026-09-24),
77,S23,rio_causal_2024,Development Code Fragment,"Development code fragments such as var_dump(), print_r().",Yes,Development Code Fragment,PHP/web,Yes,1,Development Code Fragment,P,ok (2026-09-24),
78,S23,rio_causal_2024,Unused Private Field,Unused private field.,Yes,Unused Private Field,Unused code,Yes,25,Unused Private Field,G,ok (2026-09-24),
79,S23,rio_causal_2024,Unused Local Variable,Unused local variable.,Yes,Unused Local Variable,Unused code,Yes,27,Unused Local Variable,G,ok (2026-09-24),
80,S23,rio_causal_2024,Unused Private Method,Unused private method.,Yes,Unused Private Method,Unused code,Yes,26,Unused Private Method,G,ok (2026-09-24),
81,S23,rio_causal_2024,Unused Formal Parameter,Unused formal parameter,Yes,Unused Formal Parameter,Unused code,Yes,28,Unused Formal Parameter,G,ok (2026-09-24),
82,S23,rio_causal_2024,Embedded JS,JavaScript inside an HTML page in a <script> tag.,No,Embedded/Inline JavaScript,PHP/web,Yes,5,Embedded/Inline JavaScript,W,ok (2026-09-24),"Client-side code smell (JS/CSS embedded in the HTML generated by PHP): the spreadsheet marks it as not PHP-specific, but it enters the catalog by the 2026-09-24 decision to include embedded code smells."
83,S23,rio_causal_2024,Inline JS,JavaScript inserted directly into HTML elements.,No,Embedded/Inline JavaScript,PHP/web,Yes,5,Embedded/Inline JavaScript,W,ok (2026-09-24),"Client-side code smell (JS/CSS embedded in the HTML generated by PHP): the spreadsheet marks it as not PHP-specific, but it enters the catalog by the 2026-09-24 decision to include embedded code smells."
84,S23,rio_causal_2024,Embedded CSS,CSS inside an HTML page in a <style> tag.,No,Embedded/Inline CSS,PHP/web,Yes,6,Embedded/Inline CSS,W,ok (2026-09-24),"Client-side code smell (JS/CSS embedded in the HTML generated by PHP): the spreadsheet marks it as not PHP-specific, but it enters the catalog by the 2026-09-24 decision to include embedded code smells."
85,S23,rio_causal_2024,Inline CSS,CSS inserted directly into HTML elements.,No,Embedded/Inline CSS,PHP/web,Yes,6,Embedded/Inline CSS,W,ok (2026-09-24),"Client-side code smell (JS/CSS embedded in the HTML generated by PHP): the spreadsheet marks it as not PHP-specific, but it enters the catalog by the 2026-09-24 decision to include embedded code smells."
86,S23,rio_causal_2024,CSS in JS,CSS code inside JavaScript.,No,CSS in JavaScript,PHP/web,Yes,7,CSS in JavaScript,W,ok (2026-09-24),"Client-side code smell (JS/CSS embedded in the HTML generated by PHP): the spreadsheet marks it as not PHP-specific, but it enters the catalog by the 2026-09-24 decision to include embedded code smells."
87,S23,rio_causal_2024,CSS in JS: jQuery,CSS inserted in jQuery,No,CSS in JavaScript,PHP/web,Yes,7,CSS in JavaScript,W,ok (2026-09-24),"Client-side code smell (JS/CSS embedded in the HTML generated by PHP): the spreadsheet marks it as not PHP-specific, but it enters the catalog by the 2026-09-24 decision to include embedded code smells."
