id,key,qa1_objective,qa2_method,qa3_context,qa4_results,score,justification
S01,nguyen_2012,1,0.5,1,1,3.5,"Objective and contributions in Section 1, RQ1/RQ2 with hypotheses in Section 3; Section 2 defines 6 types of embedded code smells (Table 1) and detection with WebScent, but the σ threshold, the generation of test cases and the source of the bug data are missing; Table 2 describes 6 PHP systems; Tables 3–5 (Wilcoxon) answer the RQs. Alternative: QA4 0.5 defensible: it claims 'high accuracy' without evaluating WebScent's precision/recall and has no threats section."
S02,gauthier_merlo_2013,1,1,1,0.5,3.5,"Three explicit contributions in the Introduction; Section III describes a 5-step protocol (privilege mapping by static analysis with model checking, LDA with 100 topics, 30,700 logistic regressions with Bonferroni correction); Section IV describes Moodle 2.3.2 (PHP, 735 thousand sLOC, 307 privileges); Table I lists 31 smells and 2 errors, 2 of them confirmed by developers; however, the authors call the results preliminary, do not measure accuracy and do not discuss threats. Alternative: QA2 0.5 defensible (the manual inspection and the expert review have no stated criteria); QA4 1 defensible for a proof of concept."
S03,yamashita_counsell_2013,1,1,1,0.5,3.5,"Two explicit research questions in the Introduction; Sections 3–4 and 6 describe the tools (Borland Together, InCode), the 12 code smells (Table 9), code smell density, the tests (Table 12), the tasks (Table 10), the measurement of effort and defects, and Kappa; context in Tables 7–8; Tables 11–18 answer the questions, but the validation rests on 4 systems and 6 observations, and the conclusions ('show promise') go beyond the strength of the data. Alternative: QA4 1 defensible: both questions are answered with tables, the study declares itself exploratory, and Section 7.2 acknowledges the limitations."
S04,yamashita_moonen_2013,1,1,1,1,4,"Explicit objective in the abstract and the Introduction (how much of the maintenance problems code smells explain); Section 3 describes the multiple-case study (6 developers, 4 systems, 3 tasks; Table 2), the data sources (Table 3), the identification of problems (Table 4), the 12 code smells and the tools (Table 5), and the analysis (Section 3.3, Fig. 1); context in Table 1; Tables 7–14 and Appendix A support the results; Section 5.4 addresses threats. Alternative: QA2 0.5 defensible: the categorization of problems is qualitative and only part of it was validated by a second researcher."
S05,arcelli_fontana_2015,1,0.5,1,0.5,3,"Three explicit questions in the Introduction; there are detection and refactoring tools (Tables 1–2), refactoring steps (Table 3) and verification with RefFinder, but the number and profile of the student raters, the protocol for the H/M/L scores (Table 6) and the criterion for choosing the refactored fragments are missing; Table 4 describes 4 Java systems from the Qualitas Corpus; Table 5 gives counts, but the answers to the questions (Sections 5.2–5.4) are subjective impressions. Alternative: QA3 0.5 defensible (the participants in the subjective evaluation are not characterized)."
S06,wagey_2015,1,0.5,1,0.5,3,"Explicit objective in the Introduction (a maintainability model based on code smells, validated by design pattern density), without RQs; Section III details 5 code smells, 11 metrics, scales and thresholds (Tables 1–4), but Section IV does not describe how the correlation of 0.51 was computed; Table 5 describes the 6 Java apps; Tables 6–8 and Figs. 2–3 exist, but the validation is weak. Alternative: QA1 0.5 defensible (no formal RQs); QA2 1 defensible (well-specified model). QA4 problems: n=6, a correlation of 0.51 without a significance test, called 'strong' in the abstract."
S07,khrishe_2016,1,1,1,0.5,3.5,"Objective in Sections I–II and hypothesis in Section IV; Section III gives the complete source code (Table 1), the 3 refactorings, the 6 orders, SourceMonitor and the 6 metrics; the context is a single artificial C# class, shown in full; Tables 2–3 and Figures 1–2 show differences, but the hypothesis is accepted without a statistical test and with a single case. Alternative: QA3 0.5 defensible (toy class, no real system); QA4 0 possible given the weakness of the evidence."
S08,palomba_textual_2016,1,1,1,1,4,"Explicit objective in the Introduction and RQ1–RQ3 in Section IV; Section III describes the textual extraction, normalization, LSI, formulas (1)–(10) and the median cut-off; Section IV presents the public oracle, precision, recall and F-measure, and the reimplementation of DECOR; Table I describes 10 Java systems (classes, methods, KLOC); Tables II–VII give results per system and per smell; Section VI discusses threats. Alternative: QA4 0.5 defensible: there are no statistical tests, and claims such as 'TACO outperforms in 90% of the cases' come from per-system counts."
S09,soltanifar_2016,1,1,1,1,4,"QA1: objective and 3 contributions explicit in the introduction. QA2: Section 3 describes tools, churn metrics, algorithms, SMOTE, 10-fold cross-validation with 100 repetitions, the Mann-Whitney test and 5 performance measures. QA3: Table 1 and Section 3.1 describe the 2 industrial projects (domain, language, files, developers, period, versioning). QA4: Tables 2 to 4 support the conclusions with statistical tests and Section 6 discusses threats; caveats: low correlations (0.21 to 0.36) and correlation only in Project 1 (0.5 is also defensible)."
S10,souza_2017,1,1,1,0.5,3.5,"QP1 and QP1.1 (the study's own labels) explicit in the Introduction and Section 3; the detection strategies are in Figs. 1–5, with thresholds from Filó's catalog (Table 1) and the FindSmells tool; the comparison with JSpIRIT and JDeodorant uses precision, recall and F-measure, with validation by an expert; Table 2 describes 12 Java systems; however, there is no oracle (the tools' outputs serve as reference), the manual validation covers only 2 systems and there are only boxplots, without tests, although the conclusion speaks of 'significantly effective'. Alternative: QA2 0.5 defensible (the selection of systems is described inconsistently and there is a single expert); QA4 1 possible for those who accept the comparison with the tools as evidence."
S11,abidi_2019,1,0.5,0.5,0.5,2.5,"Explicit objective in Section 3 (cataloguing smells of multi-language systems), without formal RQs; Section 3 and Fig. 1 describe sources, keywords, inclusion criteria and consensus among the authors, but the details are deferred to another work and there is no count of candidates; context: about 20 JNI projects, without size or domain; the 12 smells are documented with examples (Figs. 3–17), without empirical validation of prevalence or impact. Alternative: QA4 0 defensible (catalog without evaluation, examples only illustrative)."
S12,mello_2019,1,1,1,0.5,3.5,"Objective in the structured abstract and an explicit RQ in Section III; Table I gives the questionnaire, Section III-B describes the analysis (frequency, order of evocation, quadrants) and Section V the grouping by three researchers (Table III); Section IV characterizes 32 developers from Brazilian companies; Table IV answers the RQ, but the conclusion about the mismatch between research and practice comes from an informal literature search, without a method. Alternative: QA4 1 defensible: the formal RQ is answered directly by the data in Table IV."
S13,bessghaier_diffusion_2020,1,1,1,0.5,3.5,"RQ1–RQ3 and hypotheses explicit in Section 3.1; Section 3 describes PHPMD, the 12 code smells (Table 1), git mining (Eq. 1), the t-test with Cohen's d and logistic regression (Eq. 2), with a replication package; context in Table 2 (5 PHP apps, 223 releases); Tables 3–4 and Figs. 2–3 give the results and Section 5 addresses threats; however, the abstract and the conclusion highlight Too Many Methods and High Coupling, while Table 4 points to HMC (32%) and EML (28%). Alternative: QA4 1 defensible: there are statistical tests (p=0.03, d=1.8) and the questions are answered; the inconsistencies can be seen as writing flaws."
S14,catolino_2020,1,0.5,0,0,1.5,"Objective (relationship between code smells and sustainability) and motivating questions in Section I; Section II describes only a plan (survival analysis, variables, interviews), without a defined tool, projects or criteria; context only as 'several open-source projects'; there are no results (Section III addresses expected implications). Alternative: QA1 0.5 defensible (rhetorical questions, not formal RQs); QA2 0 also possible (plan not executed)."
