#,Nome da ferramenta,Para PHP,Descrição,Artigo citado,Texto relevante
1,PHPMD (PHP Mess Detector),Sim,Ferramenta amplamente utilizada para detectar code smells em aplicações web baseadas em PHP​,A longitudinal exploratory study on code smells in server side web applications,
2,PyDriller,Não,"Um framework em Python usado para interagir com repositórios Git, aplicando comandos para detectar commits relacionados a correções de falhas​",A longitudinal exploratory study on code smells in server side web applications,
3,SZZ Algorithm,Não Especificamente,Utilizado para identificar commits que induzem falhas ao analisar alterações no código fonte​,A longitudinal exploratory study on code smells in server side web applications,
4,Apriori Algorithm,Não Especificamente,Aplicado para descobrir associações frequentes entre pares de code smells,A longitudinal exploratory study on code smells in server side web applications,
5,Jdeodorant,Não,Para identificar code smells e refatorar o código em Java.,Application of AO Algorithm in Recognizing the Optimim Refactoring sequence for examining the effect on maintainability: Na Empirical Study,
6,JSpIRIT,Não,"Ferramenta usada para detectar ""bad smells"" em código-fonte de sistemas desenvolvidos em Java. Trata-se de um plugin para a IDE Eclipse, que utiliza métricas de software para identificar padrões de código que indicam potenciais problemas de design e arquitetura. JSpIRIT se baseia em estratégias automáticas de detecção, usando métricas como tamanho de classes, número de métodos e complexidade ciclomática, entre outras.",Applying Software Metric Thresholds for Detection of Bad Smells,
7,PINOT (Pattern Inference and Recovery Tool),Não,Usada para extração de padrões de design no código das aplicações.,A Proposal of Software Maintainability Model using Code Smell Measuremen,
8,Sourcemeter,Não,"Ferramenta de análise estática de código-fonte, utilizada para medir várias métricas de software relacionadas aos code smells.",A Proposal of Software Maintainability Model using Code Smell Measuremen,
9,Jdeodorant,Não,"Ferramenta que detecta Feature Envy e sugere refatorações, como Move Method. Ela também oferece suporte para detectar outros smells, como State Checking, Long Method, e Blob.",A Textual-based Technique for Smell Detection,
10,TACO,Não,(Textual Analysis for Code Smell detectiOn) é uma técnica descrita no artigo que usa análise textual para detectar code smells em software.,A Textual-based Technique for Smell Detection,"1. Extração de Conteúdo Textual O primeiro passo do TACO é extrair o conteúdo textual dos componentes do código-fonte, como:  Identificadores (nomes de classes, métodos, variáveis). Comentários no código. Esses elementos textuais são processados para análise. O objetivo é usar a informação textual presente no código (não apenas a estrutura, como métodos ou variáveis, mas os nomes e descrições escolhidos pelos desenvolvedores) para detectar code smells.  2. Processo de Normalização Após a extração, o TACO normaliza o texto utilizando técnicas comuns de Recuperação de Informações (IR), como:  Divisão de identificadores: por exemplo, identificadores no formato camelCase são separados em palavras individuais. Remoção de palavras irrelevantes: são removidas palavras-chave de programação e palavras comuns (stop words), como “public”, “if”, “class” ou “the”. Conversão para minúsculas: para evitar distinções de capitalização. Stemming: As palavras são reduzidas à sua raiz (por exemplo, “running” vira “run”) usando o algoritmo de Porter’s stemmer. Essa normalização resulta em um conjunto de termos que representam o conteúdo textual de cada componente de código.  3. Detecção de Smells Depois da normalização, o TACO usa métodos de Latent Semantic Indexing (LSI), uma técnica de modelagem semântica, para identificar a semelhança entre os textos dos componentes do código. O LSI agrupa os componentes baseados em sua semelhança semântica (co-ocorrência de termos), o que permite identificar responsabilidades mal distribuídas ou componentes que tratam de tópicos diferentes.  O TACO aplica diferentes heurísticas, específicas para cada tipo de code smell, para calcular a probabilidade de que um componente de código esteja afetado por um smell. Aqui estão alguns exemplos:  Long Method: A técnica identifica métodos cujos blocos de código são semanticamente distintos, sugerindo que o método trata de várias responsabilidades. A coesão do método é calculada pela similaridade entre seus segmentos de código.  Feature Envy: O TACO compara a semelhança textual de um método com sua própria classe e outras classes do sistema. Se o método for mais semelhante a outra classe, ele pode estar localizado incorretamente (indicando um Feature Envy).  Blob: O TACO calcula a coesão textual de uma classe com base na similaridade entre seus métodos. Uma baixa coesão pode indicar uma classe grande e desorganizada, característica de um Blob.  Promiscuous Package: Um pacote pode ser identificado como promíscuo se as classes que o compõem forem semanticamente distintas. A coesão entre as classes é calculada com base na similaridade de seus textos.  Misplaced Class: O TACO compara a classe com o pacote em que ela está e outros pacotes. Se uma classe é mais semanticamente próxima de outro pacote, isso pode indicar que ela está mal posicionada.  4. Conversão de Probabilidade em Decisão Para cada componente de código, o TACO atribui uma probabilidade de estar afetado por um determinado smell. Para tomar a decisão final de se um componente está ou não ""infectado"" por um smell, o TACO converte essa probabilidade em um valor de verdade (verdadeiro ou falso) com base em um limiar definido.  5. Estudo Empírico O TACO foi avaliado em dez projetos open-source para verificar sua precisão e recall na detecção de cinco code smells (Long Method, Feature Envy, Blob, Promiscuous Package, e Misplaced Class). Os resultados indicam que o TACO frequentemente supera as abordagens estruturais tradicionais.  Resumo Visual do Processo TACO O TACO segue basicamente três etapas principais, como mostrado na Figura 1 do artigo:  Extração de conteúdo textual (identificadores e comentários). Normalização do texto (remoção de stop words, stemming, etc.). Detecção de smells usando a similaridade textual e técnicas de recuperação de informações para calcular a probabilidade de um smell estar presente. Benefícios do TACO Precisa: Utiliza informações textuais que as abordagens puramente estruturais não consideram. Complementar: Em muitos casos, complementa as técnicas estruturais, oferecendo uma visão mais completa sobre a qualidade do código. Assim, o TACO oferece uma nova forma de analisar code smells, explorando a riqueza semântica presente no código-fonte, em vez de se basear apenas em métricas estruturais como número de linhas ou complexidade"
