id,status,key,title,year,venue_type,venue,pages,doi,publication_type,study_type,qualis,relevance_to_slr,php_focus,languages_analyzed,detection_tools_used,tools_cited,n_code_smell_records,rqs_contributed_to
S01,included,nguyen_2012,Detection of embedded code smells in dynamic web applications,2012,Conference,2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering (ASE),282-285,10.1145/2351676.2351724,"Short conference paper (ASE 2012, 4 pp.; author version, track not stated in the PDF)",Experiment,A1,4 - Relevant,Yes,PHP; HTML; JavaScript; CSS,WebScent (authors' prototype),WebScent,6,RQ1; RQ3
S02,included,gauthier_merlo_2013,Semantic Smells and Errors in Access Control Models: A Case Study in PHP,2013,Conference,2013 35th International Conference on Software Engineering (ICSE),1169-1172,10.1109/ICSE.2013.6606670,"Short paper, New Ideas and Emerging Results track (ICSE 2013, 4 pp.)",Case study and experiment,A1,5 - Very relevant,Yes,PHP,"— (own approach: static analysis, LDA and logistic regression)",,2,RQ1; RQ3
S03,included,yamashita_counsell_2013,Code smells as system-level indicators of maintainability: An empirical study,2013,Journal,Journal of Systems and Software,2639-2653,10.1016/j.jss.2013.05.007,Full journal article (Journal of Systems and Software),Case study and experiment,A2,3 - Moderately relevant,No,Java,Borland Together; InCode,Borland Together and InCode,12,
S04,included,yamashita_moonen_2013,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,2013,Journal,Information and Software Technology,2223-2242,10.1016/j.infsof.2013.08.002,Full journal article (Information and Software Technology),Case study,A2,3 - Moderately relevant,No,Java,Borland Together; InCode,Borland Together; InCode; Jdeodorant; iSPARQL,12,RQ4
S05,included,arcelli_fontana_2015,On Experimenting Refactoring Tools to Remove Code Smells,2015,Workshop,Scientific Workshop Proceedings of the XP2015 (XP '15 workshops),8 p.,10.1145/2764979.2764986,Workshop paper (XP 2015 Workshops),Experiment,?,3 - Moderately relevant,No,Java,iPlasma; InCode; JDeodorant,iPlasma; Jdeodorant; InCode; Eclipse; IntelliJ IDEA; Jdeodorant; RefactorIT,9,RQ4
S06,included,wagey_2015,A Proposal of Software Maintainability Model using Code Smell Measurement,2015,Conference,2015 International Conference on Data and Software Engineering (ICoDSE),25-30,10.1109/ICODSE.2015.7436966,"Conference paper (ICoDSE 2015, 6 pp.)",Case study,A3,3 - Moderately relevant,No,Java,SourceMeter (metrics and clones),PINOT (Pattern Inference and Recovery Tool); Sourcemeter,5,
S07,included,khrishe_2016,An Empirical Study on the Effect of the Order of Applying Software Refactoring,2016,Conference,2016 7th International Conference on Computer Science and Information Technology (CSIT),1-4,10.1109/CSIT.2016.7549471,"Conference paper (CSIT 2016, 4 pp.)",Case study,?,3 - Moderately relevant,No,C#,— (code smells chosen manually; metrics with SourceMonitor),,0,RQ2; RQ4
S08,included,palomba_textual_2016,A Textual-based Technique for Smell Detection,2016,Conference,2016 IEEE 24th International Conference on Program Comprehension (ICPC),1-10,10.1109/ICPC.2016.7503704,Full conference paper (ICPC 2016),Case study,A2,3 - Moderately relevant,No,Java,TACO (proposed by the authors); DECOR (reimplemented); JDeodorant,Jdeodorant; TACO,12,
S09,included,soltanifar_2016,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,2016,Conference,Proceedings of the 20th International Database Engineering & Applications Symposium (IDEAS '16),148-155,10.1145/2938503.2938553,Full conference paper (IDEAS 2016),Experiment,A4,5 - Very relevant,Yes,Java; PHP; JavaScript,PMD (Java project); PHP_CodeSniffer and JSHint (PHP/JavaScript project),"PHP Code Sniffer; JSHint (Project 2, PHP/JS); PMD (Project 1, Java)",20,RQ1; RQ3
S10,included,souza_2017,Applying Software Metric Thresholds for Detection of Bad Smells,2017,Conference,"Proceedings of the 11th Brazilian Symposium on Software Components, Architectures, and Reuse (SBCARS '17)",10 p.,10.1145/3132498.3134268,Full conference paper (SBCARS 2017),Case study,B1,2 - Slightly relevant,No,Java,FindSmells (by the authors); JSpIRIT; JDeodorant,JSpIRIT,5,
