n,nome,categoria,especificidade,descricao,estudos_id,estudos_chave
1,Development Code Fragment,PHP e aplicações web,P,"Fragmentos usados só durante o desenvolvimento, como var_dump() e print_r(), esquecidos no código.",S20; S23,rio_abreu_2023; rio_causal_2024
2,Goto Statement,PHP e aplicações web,G,"Uso da instrução goto, que torna o fluxo do programa difícil de acompanhar.",S13; S15,bessghaier_diffusion_2020; bessghaier_longitudinal_2021
3,Implicitly Granted Privileges,PHP e aplicações web,W,"Privilégio concedido implicitamente com outro: rotinas protegidas por um privilégio executam operações que exigiriam outro, sem verificá-lo.",S02,gauthier_merlo_2013
4,Semantically Related Privileges,PHP e aplicações web,W,"Privilégios com a mesma semântica duplicados para cada componente do sistema, o que acopla privilégios a componentes.",S02,gauthier_merlo_2013
5,Embedded/Inline JavaScript,PHP e aplicações web,W,"JavaScript no HTML gerado, em tags <script> ou em atributos dos elementos, misturando lógica e apresentação.",S01; S23,nguyen_2012; rio_causal_2024
6,Embedded/Inline CSS,PHP e aplicações web,W,"CSS no HTML gerado, em tags <style> ou no atributo style, em vez de folhas de estilo separadas.",S01; S23,nguyen_2012; rio_causal_2024
7,CSS in JavaScript,PHP e aplicações web,W,"Propriedades de estilo definidas no código JavaScript, inclusive por meio do jQuery.",S01; S23,nguyen_2012; rio_causal_2024
8,Fontes dispersas,PHP e aplicações web,W,Trechos relacionados do código do cliente espalhados por diferentes funções do código do servidor.,S01,nguyen_2012
9,JavaScript duplicado,PHP e aplicações web,W,"Trechos de JavaScript repetidos, embutidos no código do servidor.",S01,nguyen_2012
10,HTML com erro de sintaxe,PHP e aplicações web,W,"HTML gerado fora da especificação da linguagem, como tags sem fechamento.",S01,nguyen_2012
11,Excessive Class Length,Tamanho,G,"Classe com código em excesso (ex.: mais de 1.000 linhas), o que indica responsabilidades demais.",S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
12,Excessive Method Length,Tamanho,G,"Método longo demais (ex.: mais de 100 linhas), difícil de entender e manter.",S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
13,Excessive Parameter List,Tamanho,G,"Método com parâmetros demais (ex.: mais de 10), sinal de que acumula tarefas.",S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
14,Too Many Methods,Tamanho,G,"Classe com métodos demais (ex.: mais de 25), o que indica baixa coesão.",S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
15,Too Many Public Methods,Tamanho,G,"Classe com métodos públicos demais (ex.: mais de 10), expondo funcionalidades em excesso.",S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
16,Too Many Fields,Tamanho,G,Classe com campos demais (ex.: mais de 15).,S20; S23,rio_abreu_2023; rio_causal_2024
17,Excessive Public Count,Tamanho,G,"Classe com métodos e atributos públicos demais, somados (ex.: mais de 45).",S20; S23,rio_abreu_2023; rio_causal_2024
18,Cyclomatic Complexity,Complexidade,G,Pontos de decisão demais em um método (ex.: complexidade acima de 10).,S13; S15; S18; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rubert_farias_2022; rio_abreu_2023; rio_causal_2024
19,NPath Complexity,Complexidade,G,Caminhos de execução acíclicos demais em um método (ex.: mais de 200).,S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
20,Excessive Class Complexity,Complexidade,G,Soma excessiva das complexidades dos métodos de uma classe (ex.: acima de 50).,S20; S23,rio_abreu_2023; rio_causal_2024
21,Coupling Between Objects,Herança e acoplamento,G,"Classe com dependências demais (ex.: mais de 13), o que propaga o efeito das mudanças.",S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
22,Depth of Inheritance,Herança e acoplamento,G,Hierarquia de herança profunda demais (ex.: mais de 6 níveis).,S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
23,Number of Children,Herança e acoplamento,G,Classe com subclasses demais (ex.: mais de 15).,S13; S15; S20; S23,bessghaier_diffusion_2020; bessghaier_longitudinal_2021; rio_abreu_2023; rio_causal_2024
24,Duplicate Code,Duplicação,G,Trechos de código repetidos em diferentes partes do sistema.,S18,rubert_farias_2022
25,Unused Private Field,Código não utilizado,G,Campo privado nunca utilizado.,S20; S23,rio_abreu_2023; rio_causal_2024
26,Unused Private Method,Código não utilizado,G,Método privado nunca chamado.,S20; S23,rio_abreu_2023; rio_causal_2024
27,Unused Local Variable,Código não utilizado,G,Variável local declarada e nunca utilizada.,S20; S23,rio_abreu_2023; rio_causal_2024
