id,situacao,chave,titulo,ano,tipo_veiculo,veiculo,paginas,doi,tipo_publicacao,tipo_estudo,qualis,relevancia_para_rsl,foco_php,linguagens_analisadas,ferramentas_de_deteccao_usadas,ferramentas_citadas,n_registros_de_cs,qps_para_as_quais_contribui
S01,incluído,nguyen_2012,Detection of embedded code smells in dynamic web applications,2012,Conferência,2012 Proceedings of the 27th IEEE/ACM International Conference on Automated Software Engineering (ASE),282-285,10.1145/2351676.2351724,"Artigo curto de conferência (ASE 2012, 4 p.; versão de autor, trilha não indicada no PDF)",Experimento,A1,4 - Relevante,Sim,PHP; HTML; JavaScript; CSS,WebScent (protótipo dos autores),WebScent,6,QP1; QP3
S02,incluído,gauthier_merlo_2013,Semantic Smells and Errors in Access Control Models: A Case Study in PHP,2013,Conferência,2013 35th International Conference on Software Engineering (ICSE),1169-1172,10.1109/ICSE.2013.6606670,"Artigo curto, trilha New Ideas and Emerging Results (ICSE 2013, 4 p.)",Estudo de caso e experimento,A1,5 - Muito relevante,Sim,PHP,"— (abordagem própria: análise estática, LDA e regressão logística)",,2,QP1; QP3
S03,incluído,yamashita_counsell_2013,Code smells as system-level indicators of maintainability: An empirical study,2013,Periódico,Journal of Systems and Software,2639-2653,10.1016/j.jss.2013.05.007,Artigo completo de periódico (Journal of Systems and Software),Estudo de caso e experimento,A2,3 - Moderadamente relevante,Não,Java,Borland Together; InCode,Borland Together e InCode,12,
S04,incluído,yamashita_moonen_2013,To what extent can maintenance problems be predicted by code smell detection? – An empirical study,2013,Periódico,Information and Software Technology,2223-2242,10.1016/j.infsof.2013.08.002,Artigo completo de periódico (Information and Software Technology),Estudo de caso,A2,3 - Moderadamente relevante,Não,Java,Borland Together; InCode,Borland Together; InCode; Jdeodorant; iSPARQL,12,QP4
S05,incluído,arcelli_fontana_2015,On Experimenting Refactoring Tools to Remove Code Smells,2015,Workshop,Scientific Workshop Proceedings of the XP2015 (XP '15 workshops),8 p.,10.1145/2764979.2764986,Artigo de workshop (XP 2015 Workshops),Experimento,?,3 - Moderadamente relevante,Não,Java,iPlasma; InCode; JDeodorant,iPlasma; Jdeodorant; InCode; Eclipse; IntelliJ IDEA; Jdeodorant; RefactorIT,9,QP4
S06,incluído,wagey_2015,A Proposal of Software Maintainability Model using Code Smell Measurement,2015,Conferência,2015 International Conference on Data and Software Engineering (ICoDSE),25-30,10.1109/ICODSE.2015.7436966,"Artigo de conferência (ICoDSE 2015, 6 p.)",Estudo de caso,A3,3 - Moderadamente relevante,Não,Java,SourceMeter (métricas e clones),PINOT (Pattern Inference and Recovery Tool); Sourcemeter,5,
S07,incluído,khrishe_2016,An Empirical Study on the Effect of the Order of Applying Software Refactoring,2016,Conferência,2016 7th International Conference on Computer Science and Information Technology (CSIT),1-4,10.1109/CSIT.2016.7549471,"Artigo de conferência (CSIT 2016, 4 p.)",Estudo de caso,?,3 - Moderadamente relevante,Não,C#,— (CS escolhidos manualmente; métricas com SourceMonitor),,0,QP2; QP4
S08,incluído,palomba_textual_2016,A Textual-based Technique for Smell Detection,2016,Conferência,2016 IEEE 24th International Conference on Program Comprehension (ICPC),1-10,10.1109/ICPC.2016.7503704,Artigo completo de conferência (ICPC 2016),Estudo de caso,A2,3 - Moderadamente relevante,Não,Java,TACO (proposta dos autores); DECOR (reimplementado); JDeodorant,Jdeodorant; TACO,12,
S09,incluído,soltanifar_2016,Software Analytics in Practice: A Defect Prediction Model Using Code Smells,2016,Conferência,Proceedings of the 20th International Database Engineering & Applications Symposium (IDEAS '16),148-155,10.1145/2938503.2938553,Artigo completo de conferência (IDEAS 2016),Experimento,A4,5 - Muito relevante,Sim,Java; PHP; JavaScript,PMD (projeto Java); PHP_CodeSniffer e JSHint (projeto PHP/JavaScript),"PHP Code Sniffer; JSHint (Projeto 2, PHP/JS); PMD (Projeto 1, Java)",20,QP1; QP3
S10,incluído,souza_2017,Applying Software Metric Thresholds for Detection of Bad Smells,2017,Conferência,"Proceedings of the 11th Brazilian Symposium on Software Components, Architectures, and Reuse (SBCARS '17)",10 p.,10.1145/3132498.3134268,Artigo completo de conferência (SBCARS 2017),Estudo de caso,B1,2 - Pouco relevante,Não,Java,FindSmells (dos autores); JSpIRIT; JDeodorant,JSpIRIT,5,
