#,Fixamento,Artigo,Comentário
1,"""according to Palomba et al. [7] some of the code smells, e.g., Class Data Should Be Private, Long Parameter List, Lazy Class, are not recognized and perceived as design problems""",A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,"De acordo com o artigo, os seguintes Code Smells são mencionados: Class Data Should Be Private, Long Parameter List, Lazy Class. Especificamente, o artigo menciona esses três Code Smells quando discute um estudo de Palomba et al. que encontrou alguns Code Smells como não reconhecidos ou percebidos como problemas de design pelos desenvolvedores. O artigo não fornece uma lista abrangente de todos os code smells existentes, mas foca nestes três como exemplos de smells que nem sempre são vistos como problemáticos pelos desenvolvedores."
2,"On one side, given the relevance of the problem, a good number of tools and approaches have been proposed to detect code smells considering structural information [2], historical [3], and textual information [8].",A blessing in disguise? Assessing the Relationship between Code Smells and Sustainability,"Este artigo não fornece detalhes sobre ferramentas específicas, mas sugere que existem várias abordagens disponíveis para detectar code smells, dentre elas informações estruturais, informações históricas, informações textuais que estão nas referências do estudo. Adicionadas na revisão na SnowBolling."
3,"De acordo com o IEEE Group et al. (2010), um defeito representa “uma imperfeição ou deficiência em um produto de trabalho onde esse produto de trabalho não atende aos seus requisitos ou especificações e precisa ser reparado ou substituído”",A longitudinal exploratory study on code smells in server side web applications,
4,"Most of the code smells are diffused in the studied web applications server sides. Mainly, the smells related to long and complex code fragments (High Method Complexity, High NPath Complexity and Excessive Method Length) are highly diffused and frequent, affecting more than 95% of the studied releases, and account for more than 17% of the number of detected smells.",A longitudinal exploratory study on code smells in server side web applications,"Difusão dos code smells: O artigo destaca que a maioria dos code smells relacionados a fragmentos longos e complexos de código, como High Method Complexity e Excessive Method Length, afetam mais de 95% dos lançamentos estudados, representando mais de 17% dos problemas detectados"
5,"As shown in Fig. 4, 39% of smelly code fragments contain only one type of smell, while 61% of the smelly code fragments contain two or more types of code smells.",A longitudinal exploratory study on code smells in server side web applications,"Co-ocorrência de code smells: O estudo descobriu que os code smells frequentemente ocorrem juntos, com 61% dos fragmentos de código apresentando dois ou mais tipos de code smells. A complexidade do código aumenta a probabilidade de várias ocorrências, afetando a manutenção."
6,"It is worth noting that, overall, in our combined dataset, 86% of the smelly files have a higher median of faults than smell-free files.",A longitudinal exploratory study on code smells in server side web applications,"Impacto dos code smells na propensão a falhas: O artigo revela que arquivos com code smells são mais vulneráveis a falhas do que arquivos sem esses problemas. Em particular, 86% dos arquivos ""smelly"" são mais propensos a apresentar mais falhas, o que resulta em mais atividades de manutenção e impacto na eficiência do sistema​."
7,Pontos importante para aplicações web com PHP,A longitudinal exploratory study on code smells in server side web applications,"Estudo de aplicações PHP: O artigo realiza uma análise empírica de 430 versões de 10 projetos populares de código aberto baseados em PHP, como Laravel, WordPress, Joomla e outros, focando na difusão e no impacto dos code smells no código do lado do servidor dessas aplicações."
8,Pontos importante para aplicações web com PHP,A longitudinal exploratory study on code smells in server side web applications,"Diferenças entre aplicações web e tradicionais: O estudo enfatiza que as aplicações web, especialmente as baseadas em PHP, diferem das aplicações tradicionais por envolverem mais consumo de recursos de rede, segurança, autenticação e interação com bancos de dados remotos. Isso torna os code smells nessas aplicações particularmente desafiadores, pois podem levar a falhas críticas no servidor e impactar o desempenho no lado do cliente​."
9,Pontos importante para aplicações web com PHP,A longitudinal exploratory study on code smells in server side web applications,"Impacto dos code smells no PHP: O artigo discute como o uso de PHP, uma das linguagens mais difundidas para o desenvolvimento de aplicações web, pode sofrer com a presença de code smells comuns, como métodos e classes excessivamente longos, o que afeta diretamente a manutenibilidade e a performance das aplicações"
10,Sequência ideal de refatoração,An Empirical Study on the Effect of the Order of Applying Software Refactoring,"Refatorar na sequência correta pode melhorar a manutenibilidade e otimizar atributos de qualidade, enquanto uma ordem inadequada pode exigir mais esforço para alcançar os mesmos objetivos de qualidade​."
