linha_na_planilha_original,estudo_id,chave,nome_no_estudo,descricao,marcado_como_php_na_extracao,grupo_de_sinonimos,categoria,no_catalogo,n_no_catalogo,nome_no_catalogo,especificidade,decisao,observacoes
1,S14,catolino_2020,Class Data Should Be Private,Indica que os dados de uma classe não estão encapsulados corretamente,Não,Class Data Should Be Private,Responsabilidades e projeto,Não,,,,fora do catálogo: estudo não é de PHP,
2,S14,catolino_2020,Long Parameter List,"Refere-se a métodos que recebem muitos parâmetros, dificultando a compreensão e manutenção.",Não,Excessive Parameter List,Tamanho,Não,,,,fora do catálogo: estudo não é de PHP,
3,S14,catolino_2020,Lazy Class,Classes que não têm utilidade suficiente para justificar sua existência.,Não,Lazy Class,Código não utilizado,Não,,,,fora do catálogo: estudo não é de PHP,
4,S15,bessghaier_longitudinal_2021,Excessive Number Of Children (ENOC),Muitos filhos de uma classe dificultam a manutenção da hierarquia.,Sim,Number of Children,Herança e acoplamento,Sim,23,Number of Children,G,ok (24/09/2026),
5,S15,bessghaier_longitudinal_2021,Excessive Depth Of Inheritance (EDOI),Uma árvore de herança profunda aumenta o acoplamento e dificulta a manutenção.,Sim,Depth of Inheritance,Herança e acoplamento,Sim,22,Depth of Inheritance,G,ok (24/09/2026),
6,S15,bessghaier_longitudinal_2021,High Coupling (HC),Muitas dependências tornam a classe mais difícil de manter.,Sim,Coupling Between Objects,Herança e acoplamento,Sim,21,Coupling Between Objects,G,ok (24/09/2026),
7,S15,bessghaier_longitudinal_2021,Empty Catch Block (ECB),Blocos catch vazios dificultam o tratamento de erros.,Sim,Empty Catch Block,Exceções,Sim,29,Empty Catch Block,G,ok (24/09/2026),
8,S15,bessghaier_longitudinal_2021,Goto Statement (GTS),O uso de goto torna a lógica do programa difícil de entender.,Sim,Goto Statement,PHP/web,Sim,2,Goto Statement,G,ok (24/09/2026),
9,S15,bessghaier_longitudinal_2021,High Method Complexity (HMC),A complexidade ciclomática alta torna o código difícil de testar e manter.,Sim,Cyclomatic Complexity,Complexidade,Sim,18,Cyclomatic Complexity,G,ok (24/09/2026),
10,S15,bessghaier_longitudinal_2021,High NPath Complexity (HNPC),"Complexidade alta em estruturas de controle (e.g., if/else), diminuindo a clareza e aumentando a dificuldade de testes.",Sim,NPath Complexity,Complexidade,Sim,19,NPath Complexity,G,ok (24/09/2026),
